companyName,date,openingPrice,highestPrice,lowestPrice,closingPrice,volume
AMEN BANK,16/06/2014,23.63,23.63,22.75,23.14,1608
AMEN BANK,23/06/2014,23.14,23.14,22.37,22.75,16837
AMEN BANK,30/06/2014,22.75,22.97,22.07,22.66,33514
AMEN BANK,07/07/2014,22.75,23.17,21.88,22.74,3340
AMEN BANK,14/07/2014,22.84,23.16,22.58,22.75,5789
AMEN BANK,21/07/2014,22.75,23.1,22.49,22.75,425
AMEN BANK,28/07/2014,22.75,22.93,22.07,22.65,1899
AMEN BANK,04/08/2014,22.65,22.66,22.23,22.65,2066
AMEN BANK,11/08/2014,22.65,22.75,22.31,22.75,3054
AMEN BANK,18/08/2014,22.75,22.75,22.49,22.49,1503
AMEN BANK,25/08/2014,22.31,22.49,22.31,22.48,4873
AMEN BANK,01/09/2014,22.47,22.47,22.14,22.39,5423
AMEN BANK,08/09/2014,22.38,22.39,21.88,22.3,2074
AMEN BANK,15/09/2014,22.29,22.29,21.88,22.05,1753
AMEN BANK,22/09/2014,21.96,22.15,21.7,21.88,2032
AMEN BANK,29/09/2014,22.05,22.05,21.44,21.88,12811
AMEN BANK,06/10/2014,21.88,21.88,21.53,21.88,9249
AMEN BANK,13/10/2014,21.87,22.13,21.79,21.88,838
AMEN BANK,20/10/2014,21.88,22.44,21.53,22.4,17629
AMEN BANK,27/10/2014,23.06,23.75,22.75,23.44,9868
AMEN BANK,03/11/2014,23.44,23.45,22.75,23.14,5221
AMEN BANK,10/11/2014,23.14,23.28,22.84,23.1,10560
AMEN BANK,17/11/2014,23.36,23.8,22.93,23.23,8699
AMEN BANK,24/11/2014,23.63,23.63,22.97,23.19,5277
AMEN BANK,01/12/2014,23.19,23.19,22.79,23.06,2229
AMEN BANK,08/12/2014,23.06,23.06,22.75,23.01,7997
AMEN BANK,15/12/2014,23.19,23.19,22.36,22.58,9912
AMEN BANK,22/12/2014,22.58,23.01,22.58,22.75,21929
AMEN BANK,29/12/2014,23.01,23.01,22.31,22.4,3791
AMEN BANK,05/01/2015,22.56,22.73,22.49,22.58,1401
AMEN BANK,12/01/2015,22.58,22.58,21.88,22.12,5980
AMEN BANK,19/01/2015,22.12,22.12,21.53,21.79,7447
AMEN BANK,26/01/2015,21.62,22.14,21.22,21.35,21525
AMEN BANK,02/02/2015,21.7,21.7,21.35,21.53,11180
AMEN BANK,09/02/2015,21.52,21.78,21.39,21.44,2614
AMEN BANK,16/02/2015,21.26,21.55,20.74,21.18,7045
AMEN BANK,23/02/2015,21.0,21.0,20.58,20.87,1170
AMEN BANK,02/03/2015,20.9,20.9,20.48,20.56,3099
AMEN BANK,09/03/2015,20.65,20.87,20.13,20.65,3533
AMEN BANK,16/03/2015,20.65,20.99,20.37,20.83,4548
AMEN BANK,23/03/2015,20.99,21.44,20.65,20.74,3285
AMEN BANK,30/03/2015,20.73,20.73,20.12,20.29,21195
AMEN BANK,06/04/2015,20.13,20.83,20.13,20.83,43851
AMEN BANK,13/04/2015,21.0,22.31,20.74,22.05,19736
AMEN BANK,20/04/2015,22.49,22.65,21.65,22.26,5643
AMEN BANK,27/04/2015,22.26,22.26,21.26,21.81,4261
AMEN BANK,04/05/2015,21.81,21.81,21.0,21.01,27223
AMEN BANK,11/05/2015,21.44,21.88,21.0,21.79,6183
AMEN BANK,18/05/2015,21.79,21.88,21.26,21.26,3449
AMEN BANK,25/05/2015,21.44,22.05,21.0,21.88,15695
AMEN BANK,01/06/2015,21.88,23.54,21.45,23.19,25640
AMEN BANK,08/06/2015,22.05,23.36,21.22,23.36,35488
AMEN BANK,15/06/2015,22.93,24.23,22.93,23.96,36635
AMEN BANK,22/06/2015,23.71,23.93,23.07,23.71,10221
AMEN BANK,29/06/2015,23.71,24.06,23.63,24.02,14243
AMEN BANK,06/07/2015,23.36,23.98,23.28,23.62,3562
AMEN BANK,13/07/2015,23.63,23.71,23.01,23.63,7821
AMEN BANK,20/07/2015,23.76,23.79,23.66,23.79,1384
AMEN BANK,27/07/2015,23.98,23.98,23.63,23.89,3845
AMEN BANK,03/08/2015,23.91,23.91,23.49,23.63,4079
AMEN BANK,10/08/2015,23.84,23.84,23.19,23.53,4092
AMEN BANK,17/08/2015,23.63,23.63,23.36,23.45,4454
AMEN BANK,24/08/2015,23.62,23.62,22.79,23.01,10943
AMEN BANK,31/08/2015,23.35,23.35,22.49,22.75,3961
AMEN BANK,07/09/2015,22.73,23.09,22.49,23.09,20417
AMEN BANK,14/09/2015,23.01,23.09,23.01,23.09,2637
AMEN BANK,21/09/2015,23.09,23.19,22.75,22.75,5616
AMEN BANK,28/09/2015,22.75,22.75,22.23,22.75,11528
AMEN BANK,05/10/2015,22.71,22.73,22.44,22.66,7075
AMEN BANK,12/10/2015,22.66,22.7,22.05,22.47,38718
AMEN BANK,19/10/2015,22.44,22.46,21.88,22.3,9278
AMEN BANK,26/10/2015,22.23,22.23,21.22,21.57,4264
AMEN BANK,02/11/2015,21.57,22.31,21.22,21.69,8410
AMEN BANK,09/11/2015,21.66,21.66,21.18,21.44,2938
AMEN BANK,16/11/2015,21.44,21.55,21.0,21.26,8618
AMEN BANK,23/11/2015,21.35,21.44,20.83,21.0,2760
AMEN BANK,30/11/2015,21.22,21.22,20.83,21.0,13061
AMEN BANK,07/12/2015,21.0,21.0,20.37,20.83,3109
AMEN BANK,14/12/2015,20.74,20.83,20.39,20.56,1874
AMEN BANK,21/12/2015,20.48,20.56,20.21,20.47,14783
AMEN BANK,28/12/2015,20.48,20.74,20.13,20.56,10654
AMEN BANK,04/01/2016,20.56,20.56,20.04,20.04,7497
AMEN BANK,11/01/2016,20.43,20.43,19.25,19.41,41998
AMEN BANK,18/01/2016,19.4,19.86,19.08,19.08,5461
AMEN BANK,25/01/2016,19.08,19.16,18.38,18.89,11707
AMEN BANK,01/02/2016,19.15,19.15,18.13,18.38,3773
AMEN BANK,08/02/2016,18.81,18.81,17.94,18.51,14487
AMEN BANK,15/02/2016,18.51,18.51,17.82,18.18,10461
AMEN BANK,22/02/2016,17.95,18.55,17.36,18.38,55149
AMEN BANK,29/02/2016,18.93,19.1,18.2,19.08,30319
AMEN BANK,07/03/2016,19.1,19.25,18.38,18.79,21969
AMEN BANK,14/03/2016,18.46,18.77,18.41,18.44,28151
AMEN BANK,21/03/2016,18.8,18.8,18.38,18.38,22733
AMEN BANK,28/03/2016,18.55,18.73,18.31,18.55,29022
AMEN BANK,04/04/2016,18.73,18.73,18.31,18.55,22593
AMEN BANK,11/04/2016,18.38,18.55,18.31,18.38,30767
AMEN BANK,18/04/2016,18.72,18.73,18.38,18.38,10342
AMEN BANK,25/04/2016,18.94,18.94,18.38,18.73,3660
AMEN BANK,02/05/2016,18.81,18.81,18.38,18.67,46435
AMEN BANK,09/05/2016,18.73,18.81,18.73,18.73,2677
AMEN BANK,16/05/2016,18.68,19.64,18.38,19.64,14200
AMEN BANK,23/05/2016,19.64,19.64,19.25,19.49,2008
AMEN BANK,30/05/2016,19.46,19.5,18.55,18.81,1153
AMEN BANK,06/06/2016,18.64,19.08,18.38,18.67,24439
AMEN BANK,13/06/2016,18.81,18.88,18.46,18.64,13183
AMEN BANK,20/06/2016,18.64,18.81,17.85,18.38,15720
AMEN BANK,27/06/2016,18.93,19.25,18.81,19.25,89
AMEN BANK,04/07/2016,19.23,19.23,19.22,19.22,35
AMEN BANK,11/07/2016,18.65,19.2,18.65,18.81,3125
AMEN BANK,18/07/2016,19.07,19.07,18.26,18.9,444
AMEN BANK,25/07/2016,18.54,18.94,18.51,18.51,1446
AMEN BANK,01/08/2016,18.9,18.9,18.74,18.81,1587
AMEN BANK,08/08/2016,18.73,20.23,18.73,20.23,11234
AMEN BANK,15/08/2016,20.83,22.05,20.26,21.22,10203
AMEN BANK,22/08/2016,21.79,21.79,20.48,21.35,2887
AMEN BANK,29/08/2016,20.3,21.35,20.13,21.0,9146
AMEN BANK,05/09/2016,20.06,21.0,20.06,20.91,1302
AMEN BANK,12/09/2016,21.18,21.18,20.39,20.74,1129
