companyName,date,openingPrice,highestPrice,lowestPrice,closingPrice,volume
SOTUMAG,2014-06-16,1.76,1.8,1.73,1.73,44315.0
SOTUMAG,2014-06-23,1.78,1.82,1.77,1.82,9551.0
SOTUMAG,2014-06-30,1.81,1.82,1.81,1.81,2401.0
SOTUMAG,2014-07-07,1.78,1.82,1.78,1.8,10341.0
SOTUMAG,2014-07-14,1.83,1.83,1.76,1.81,27480.0
SOTUMAG,2014-07-21,1.78,1.81,1.76,1.81,66995.0
SOTUMAG,2014-07-28,1.76,1.81,1.74,1.81,46436.0
SOTUMAG,2014-08-04,1.76,1.8,1.74,1.75,9551.0
SOTUMAG,2014-08-11,1.76,1.81,1.76,1.81,5100.0
SOTUMAG,2014-08-18,1.77,1.8,1.72,1.72,4915.0
SOTUMAG,2014-08-25,1.77,1.78,1.73,1.77,7366.0
SOTUMAG,2014-09-01,1.78,1.78,1.73,1.76,31358.0
SOTUMAG,2014-09-08,1.73,1.78,1.71,1.77,39516.0
SOTUMAG,2014-09-15,1.77,1.78,1.7,1.7,25040.0
SOTUMAG,2014-09-22,1.74,1.75,1.65,1.74,25121.0
SOTUMAG,2014-09-29,1.69,1.69,1.62,1.65,13634.0
SOTUMAG,2014-10-06,1.65,1.74,1.61,1.72,38545.0
SOTUMAG,2014-10-13,1.71,1.73,1.66,1.71,10347.0
SOTUMAG,2014-10-20,1.67,1.73,1.66,1.7,14872.0
SOTUMAG,2014-10-27,1.72,1.8,1.7,1.76,5352.0
SOTUMAG,2014-11-03,1.78,1.93,1.77,1.9,49934.0
SOTUMAG,2014-11-10,1.88,1.9,1.83,1.85,6774.0
SOTUMAG,2014-11-17,1.8,1.88,1.8,1.85,4657.0
SOTUMAG,2014-11-24,1.84,1.85,1.79,1.83,7682.0
SOTUMAG,2014-12-01,1.8,1.8,1.74,1.76,2845.0
SOTUMAG,2014-12-08,1.78,1.78,1.69,1.74,8908.0
SOTUMAG,2014-12-15,1.74,1.82,1.69,1.81,42477.0
SOTUMAG,2014-12-22,1.82,1.84,1.8,1.81,10340.0
SOTUMAG,2014-12-29,1.81,1.81,1.76,1.8,578.0
SOTUMAG,2015-01-05,1.78,1.79,1.66,1.76,8090.0
SOTUMAG,2015-01-12,1.79,1.79,1.75,1.78,130.0
SOTUMAG,2015-01-19,1.77,1.79,1.73,1.77,5465.0
