date,companyName,weekly_moving_avg
2014-07-13,AMEN BANK,23.415
2014-07-20,AMEN BANK,22.822499999999998
2014-07-27,AMEN BANK,22.725
2014-08-03,AMEN BANK,22.725
2014-08-10,AMEN BANK,22.7225
2014-08-17,AMEN BANK,22.700000000000003
2014-08-24,AMEN BANK,22.700000000000003
2014-08-31,AMEN BANK,22.635
2014-09-07,AMEN BANK,22.5925
2014-09-14,AMEN BANK,22.527499999999996
2014-09-21,AMEN BANK,22.415
2014-09-28,AMEN BANK,22.305
2014-10-05,AMEN BANK,22.155
2014-10-12,AMEN BANK,22.027499999999996
2014-10-19,AMEN BANK,21.9225
2014-10-26,AMEN BANK,21.88
2014-11-02,AMEN BANK,22.009999999999998
2014-11-09,AMEN BANK,22.400000000000002
2014-11-16,AMEN BANK,22.715
2014-11-23,AMEN BANK,23.02
2014-11-30,AMEN BANK,23.227500000000003
2014-12-07,AMEN BANK,23.165
2014-12-14,AMEN BANK,23.145
2014-12-21,AMEN BANK,23.122500000000002
2014-12-28,AMEN BANK,22.96
2015-01-04,AMEN BANK,22.85
2015-01-11,AMEN BANK,22.685
2015-01-18,AMEN BANK,22.577499999999997
2015-01-25,AMEN BANK,22.4625
2015-02-01,AMEN BANK,22.222499999999997
2015-02-08,AMEN BANK,21.96
2015-02-15,AMEN BANK,21.6975
2015-02-22,AMEN BANK,21.5275
2015-03-01,AMEN BANK,21.375
2015-03-08,AMEN BANK,21.255000000000003
2015-03-15,AMEN BANK,21.0125
2015-03-22,AMEN BANK,20.815
2015-03-29,AMEN BANK,20.7275
2015-04-05,AMEN BANK,20.695
2015-04-12,AMEN BANK,20.627499999999998
2015-04-19,AMEN BANK,20.6725
2015-04-26,AMEN BANK,20.9775
2015-05-03,AMEN BANK,21.3575
2015-05-10,AMEN BANK,21.7375
2015-05-17,AMEN BANK,21.782500000000002
2015-05-24,AMEN BANK,21.7175
2015-05-31,AMEN BANK,21.4675
2015-06-07,AMEN BANK,21.485
2015-06-14,AMEN BANK,22.03
2015-06-21,AMEN BANK,22.422500000000003
2015-06-28,AMEN BANK,23.0975
2015-07-05,AMEN BANK,23.555
2015-07-12,AMEN BANK,23.7625
2015-07-19,AMEN BANK,23.8275
2015-07-26,AMEN BANK,23.745
2015-08-02,AMEN BANK,23.765
2015-08-09,AMEN BANK,23.7325
2015-08-16,AMEN BANK,23.735
2015-08-23,AMEN BANK,23.71
2015-08-30,AMEN BANK,23.625
2015-09-06,AMEN BANK,23.404999999999998
2015-09-13,AMEN BANK,23.185
2015-09-20,AMEN BANK,23.075
2015-09-27,AMEN BANK,22.985
2015-10-04,AMEN BANK,22.92
2015-10-11,AMEN BANK,22.92
2015-10-18,AMEN BANK,22.8125
2015-10-25,AMEN BANK,22.6575
2015-11-01,AMEN BANK,22.544999999999998
2015-11-08,AMEN BANK,22.25
2015-11-15,AMEN BANK,22.0075
2015-11-22,AMEN BANK,21.75
2015-11-29,AMEN BANK,21.490000000000002
2015-12-06,AMEN BANK,21.3475
2015-12-13,AMEN BANK,21.175
2015-12-20,AMEN BANK,21.0225
2015-12-27,AMEN BANK,20.8475
2016-01-03,AMEN BANK,20.715
2016-01-10,AMEN BANK,20.604999999999997
2016-01-17,AMEN BANK,20.4075
2016-01-24,AMEN BANK,20.119999999999997
2016-01-31,AMEN BANK,19.772499999999997
2016-02-07,AMEN BANK,19.355
2016-02-14,AMEN BANK,18.939999999999998
2016-02-21,AMEN BANK,18.715
2016-02-28,AMEN BANK,18.490000000000002
2016-03-06,AMEN BANK,18.3625
2016-03-13,AMEN BANK,18.5375
2016-03-20,AMEN BANK,18.607499999999998
2016-03-27,AMEN BANK,18.6725
2016-04-03,AMEN BANK,18.6725
2016-04-10,AMEN BANK,18.54
2016-04-17,AMEN BANK,18.48
2016-04-24,AMEN BANK,18.465
2016-05-01,AMEN BANK,18.465
2016-05-08,AMEN BANK,18.51
2016-05-15,AMEN BANK,18.54
2016-05-22,AMEN BANK,18.6275
2016-05-29,AMEN BANK,18.942500000000003
2016-06-05,AMEN BANK,19.1325
2016-06-12,AMEN BANK,19.167499999999997
2016-06-19,AMEN BANK,19.1525
2016-06-26,AMEN BANK,18.9025
2016-07-03,AMEN BANK,18.625
2016-07-10,AMEN BANK,18.735
2016-07-17,AMEN BANK,18.8725
2016-07-24,AMEN BANK,18.915
2016-07-31,AMEN BANK,19.045
2016-08-07,AMEN BANK,18.86
2016-08-14,AMEN BANK,18.7575
2016-08-21,AMEN BANK,19.1125
2016-08-28,AMEN BANK,19.6925
2016-09-04,AMEN BANK,20.4025
2016-09-11,AMEN BANK,20.95
2016-09-18,AMEN BANK,21.119999999999997
2016-09-25,AMEN BANK,21.0
2016-10-02,AMEN BANK,20.825
2016-10-09,AMEN BANK,20.825
2016-10-16,AMEN BANK,20.77
2016-10-23,AMEN BANK,20.747500000000002
2016-10-30,AMEN BANK,20.6175
2016-11-06,AMEN BANK,20.65
2016-11-13,AMEN BANK,20.9225
2016-11-20,AMEN BANK,21.47
2016-11-27,AMEN BANK,22.0475
2016-12-04,AMEN BANK,22.235000000000003
2016-12-11,AMEN BANK,22.1725
2016-12-18,AMEN BANK,21.8225
2016-12-25,AMEN BANK,21.3525
2017-01-01,AMEN BANK,21.1775
2017-01-08,AMEN BANK,20.935
2017-01-15,AMEN BANK,20.735
2017-01-22,AMEN BANK,20.7675
2017-01-29,AMEN BANK,20.505000000000003
2017-02-05,AMEN BANK,20.44
2017-02-12,AMEN BANK,20.3125
2017-02-19,AMEN BANK,20.16
2017-02-26,AMEN BANK,20.1375
2017-03-05,AMEN BANK,19.985
2017-03-12,AMEN BANK,19.765
2017-03-19,AMEN BANK,19.4925
2017-03-26,AMEN BANK,19.2925
2017-04-02,AMEN BANK,19.247500000000002
2017-04-09,AMEN BANK,19.4
2017-04-16,AMEN BANK,19.465
2017-04-23,AMEN BANK,19.512500000000003
2017-04-30,AMEN BANK,19.625
2017-05-07,AMEN BANK,19.7575
2017-05-14,AMEN BANK,19.75
2017-05-21,AMEN BANK,19.655
2017-05-28,AMEN BANK,19.61
2017-06-04,AMEN BANK,19.39
2017-06-11,AMEN BANK,19.5075
2017-06-18,AMEN BANK,19.655
2017-06-25,AMEN BANK,19.872500000000002
2017-07-02,AMEN BANK,20.03
2017-07-09,AMEN BANK,20.67
2017-07-16,AMEN BANK,21.2725
2017-07-23,AMEN BANK,21.5125
2017-07-30,AMEN BANK,21.98
2017-08-06,AMEN BANK,21.8875
2017-08-13,AMEN BANK,21.845
2017-08-20,AMEN BANK,21.947499999999998
2017-08-27,AMEN BANK,21.95
2017-09-03,AMEN BANK,22.057499999999997
2017-09-10,AMEN BANK,22.385
2017-09-17,AMEN BANK,22.78
2017-09-24,AMEN BANK,23.182499999999997
2017-10-01,AMEN BANK,23.229999999999997
2017-10-08,AMEN BANK,22.835
2017-10-15,AMEN BANK,22.3375
2017-10-22,AMEN BANK,21.845000000000002
2017-10-29,AMEN BANK,21.689999999999998
2017-11-05,AMEN BANK,21.8975
2017-11-12,AMEN BANK,21.93
2017-11-19,AMEN BANK,21.939999999999998
2017-11-26,AMEN BANK,21.85
2017-12-03,AMEN BANK,21.6
2017-12-10,AMEN BANK,21.544999999999998
2017-12-17,AMEN BANK,21.37
2017-12-24,AMEN BANK,21.1075
2017-12-31,AMEN BANK,21.075
2018-01-07,AMEN BANK,20.939999999999998
2018-01-14,AMEN BANK,20.8525
2018-01-21,AMEN BANK,20.919999999999998
2018-01-28,AMEN BANK,20.93
2018-02-04,AMEN BANK,21.0175
2018-02-11,AMEN BANK,21.455
2018-02-18,AMEN BANK,21.87
2018-02-25,AMEN BANK,22.1775
2018-03-04,AMEN BANK,22.509999999999998
2018-03-11,AMEN BANK,22.572499999999998
2018-03-18,AMEN BANK,22.9225
2018-03-25,AMEN BANK,23.292499999999997
2018-04-01,AMEN BANK,23.575
2018-04-08,AMEN BANK,23.840000000000003
2018-04-15,AMEN BANK,23.7975
2018-04-22,AMEN BANK,23.777499999999996
2018-04-29,AMEN BANK,23.955
2018-05-06,AMEN BANK,24.11
2018-05-13,AMEN BANK,24.042499999999997
2018-05-20,AMEN BANK,23.8675
2018-05-27,AMEN BANK,23.540000000000003
2018-06-03,AMEN BANK,23.365000000000002
2018-06-10,AMEN BANK,23.737499999999997
2018-06-17,AMEN BANK,24.479999999999997
2018-06-24,AMEN BANK,25.465
2018-07-01,AMEN BANK,26.12
2018-07-08,AMEN BANK,26.467499999999998
2018-07-15,AMEN BANK,26.4025
2018-07-22,AMEN BANK,26.1175
2018-07-29,AMEN BANK,26.205
2018-08-05,AMEN BANK,26.4925
2018-08-12,AMEN BANK,26.895000000000003
2018-08-19,AMEN BANK,27.307499999999997
2018-08-26,AMEN BANK,27.567500000000003
2018-09-02,AMEN BANK,27.6975
2018-09-09,AMEN BANK,27.5875
2018-09-16,AMEN BANK,27.415000000000003
2018-09-23,AMEN BANK,27.152500000000003
2018-09-30,AMEN BANK,26.52
2018-10-07,AMEN BANK,25.855
2018-10-14,AMEN BANK,25.2425
2018-10-21,AMEN BANK,24.6775
2018-10-28,AMEN BANK,24.24
2018-11-04,AMEN BANK,24.0875
2018-11-11,AMEN BANK,23.869999999999997
2018-11-18,AMEN BANK,23.627499999999998
2018-11-25,AMEN BANK,23.5825
2018-12-02,AMEN BANK,23.494999999999997
2018-12-09,AMEN BANK,23.6025
2018-12-16,AMEN BANK,23.7775
2018-12-23,AMEN BANK,23.91
2018-12-30,AMEN BANK,24.019999999999996
2019-01-06,AMEN BANK,24.04
2019-01-13,AMEN BANK,24.02
2019-01-20,AMEN BANK,23.932499999999997
2019-01-27,AMEN BANK,23.790000000000003
2019-02-03,AMEN BANK,23.525000000000002
2019-02-10,AMEN BANK,23.25
2019-02-17,AMEN BANK,22.92
2019-02-24,AMEN BANK,22.537499999999998
2019-03-03,AMEN BANK,22.2125
2019-03-10,AMEN BANK,21.8625
2019-03-17,AMEN BANK,21.525
2019-03-24,AMEN BANK,21.295
2019-03-31,AMEN BANK,21.275
2019-04-07,AMEN BANK,21.265
2019-04-14,AMEN BANK,21.340000000000003
2019-04-21,AMEN BANK,21.71
2019-04-28,AMEN BANK,21.872500000000002
